year,tipo_eleccion,codigo_ccaa,codigo_seccion,n
1982,G,13,1170,1
1982,G,14,2800,1
1982,G,16,3300,1
1991,A,07,001A,47
1991,A,07,001B,47
1991,A,07,001C,7
1991,A,07,001D,2
1991,A,07,002A,3
1991,A,07,002B,3
1991,A,07,002C,2
1991,A,07,002D,1
1991,A,07,003A,4
1991,A,07,003B,4
1991,A,07,003C,1
1991,A,07,004A,1
1991,A,07,004B,1
1991,L,06,001A,9
1991,L,06,001B,9
1991,L,06,002A,2
1991,L,06,002B,2
1991,L,07,001A,47
1991,L,07,001B,47
1991,L,07,001C,7
1991,L,07,001D,2
1991,L,07,002A,3
1991,L,07,002B,3
1991,L,07,002C,2
1991,L,07,002D,1
1991,L,07,003A,4
1991,L,07,003B,4
1991,L,07,003C,1
1991,L,07,004A,1
1991,L,07,004B,1
1991,L,13,013A,1
1991,L,13,013B,1
1991,L,13,018A,1
1991,L,13,018B,1
1991,L,13,049A,1
1991,L,13,049B,1
1991,L,13,093A,1
1991,L,13,093B,1
1991,L,15,001A,18
1991,L,15,001B,18
1991,L,15,001C,4
1991,L,15,001D,1
1991,L,15,003A,1
1991,L,15,003B,1
1991,L,16,014A,1
1991,L,16,014B,1
1991,L,16,015A,1
1991,L,16,015B,1
1993,G,02,005A,1
1993,G,02,005B,1
1993,G,02,005C,1
1993,G,02,011A,1
1993,G,02,011B,1
1993,G,02,011C,1
1993,G,02,041A,1
1993,G,02,041B,1
1993,G,02,041C,1
1993,G,02,044A,1
1993,G,02,044B,1
1993,G,13,013A,1
1993,G,13,013B,1
1993,G,13,018A,1
1993,G,13,018B,1
1993,G,13,049A,1
1993,G,13,049B,1
1993,G,13,093A,1
1993,G,13,093B,1
1995,A,07,001A,50
1995,A,07,001B,50
1995,A,07,001C,14
1995,A,07,001D,3
1995,A,07,002A,2
1995,A,07,002B,2
1995,A,07,002C,2
1995,A,07,002D,1
1995,A,07,003A,5
1995,A,07,003B,5
1995,A,07,003C,2
1995,A,07,003D,1
1995,A,07,004A,1
1995,A,07,004B,1
1995,L,02,005A,1
1995,L,02,005B,1
1995,L,02,005C,1
1995,L,02,011A,1
1995,L,02,011B,1
1995,L,02,011C,1
1995,L,02,041A,1
1995,L,02,041B,1
1995,L,02,041C,1
1995,L,02,044A,1
1995,L,02,044B,1
1995,L,06,001A,10
1995,L,06,001B,10
1995,L,06,001C,3
1995,L,06,001D,1
1995,L,06,002A,2
1995,L,06,002B,2
1995,L,06,002C,1
1995,L,07,001A,50
1995,L,07,001B,50
1995,L,07,001C,14
1995,L,07,001D,3
1995,L,07,002A,2
1995,L,07,002B,2
1995,L,07,002C,2
1995,L,07,002D,1
1995,L,07,003A,5
1995,L,07,003B,5
1995,L,07,003C,2
1995,L,07,003D,1
1995,L,07,004A,1
1995,L,07,004B,1
1995,L,13,001A,4
1995,L,13,001B,4
1995,L,13,001C,1
1995,L,13,002A,1
1995,L,13,002B,1
1995,L,13,003A,1
1995,L,13,003B,1
1995,L,16,014A,1
1995,L,16,014B,1
1995,L,16,015A,1
1995,L,16,015B,1
1996,G,02,005A,1
1996,G,02,005B,1
1996,G,02,005C,1
1996,G,02,011A,1
1996,G,02,011B,1
1996,G,02,011C,1
1996,G,02,041A,1
1996,G,02,041B,1
1996,G,02,041C,1
1996,G,02,044A,1
1996,G,02,044B,1
1999,L,02,011A,1
1999,L,02,011B,1
1999,L,02,011C,1
1999,L,02,041A,1
1999,L,02,041B,1
1999,L,02,044A,1
1999,L,02,044B,1
2000,G,02,011A,1
2000,G,02,011B,1
2000,G,02,011C,1
2000,G,02,041A,1
2000,G,02,041B,1
2000,G,02,044A,1
2000,G,02,044B,1
2003,L,02,011A,1
2003,L,02,011B,1
2003,L,02,011C,1
2003,L,02,041A,1
2003,L,02,041B,1
2003,L,02,044A,1
2003,L,02,044B,1
2004,G,02,011A,1
2004,G,02,011B,1
2004,G,02,011C,1
2004,G,02,041A,1
2004,G,02,041B,1
2004,G,02,044A,1
2004,G,02,044B,1
2019,A,03,001A,4
2019,A,03,001B,4
2019,A,03,001U,3
2019,A,03,002A,1
2019,A,03,002B,1
2019,A,03,002U,3
2019,A,03,003A,4
2019,A,03,003B,4
2019,A,03,003U,3
2019,A,03,004A,2
2019,A,03,004B,2
2019,A,03,004U,2
2019,A,03,005A,4
2019,A,03,005B,4
2019,A,03,005U,1
2019,A,03,006A,2
2019,A,03,006B,2
2019,A,03,006U,2
2019,A,03,007A,1
2019,A,03,007B,1
2019,A,03,007U,2
2019,A,03,008A,2
2019,A,03,008B,2
2019,A,03,008U,1
2019,A,03,009A,2
2019,A,03,009B,2
2019,A,03,009C,1
2019,A,03,009U,1
2019,A,03,010A,1
2019,A,03,010B,1
2019,A,03,010U,2
2019,A,03,011A,1
2019,A,03,011B,1
2019,A,03,011U,2
2019,A,03,012U,1
2019,A,03,013A,1
2019,A,03,013B,1
2019,A,03,013U,1
2019,A,03,014A,1
2019,A,03,014B,1
2019,A,03,015A,2
2019,A,03,015B,2
2019,A,03,016U,1
